generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
44,1025,1026,2029,2015,4,4,7,6,1004,2008,11,7,7,2010,5,4,8113
40,2041,5,2011,1001,2,2,4,1,2038,3,2009,1,1,999,2,994,5060
45,1000,4043,999,2008,1,3,2000,0,994,2,1996,1,0,0,0,0,12103
35,1953,2939,3894,1874,2,0,999,1884,1895,1007,1956,3,967,2,1,2,13602
43,9707,2034,3769,2015,0,1,2024,1,2020,2,4246,6802,2,1,0,2359,18592
45,1006,1028,2021,2046,1,0,3,3,1017,2000,2,2,1,2047,3,0,8123
41,2059,6,2028,1023,2,4,3,1,2054,4,2024,2,1,1024,1,994,5118
46,997,3897,1003,1938,4,1,1948,1,1004,3,1973,4,1,2,3,6,11720
44,9534,2034,3766,2026,2,2,2020,7,2003,4,4473,6398,12,3,2,2387,18407
36,1997,2998,4014,1982,4,2,999,1985,1993,997,2012,1,1015,4,1,2,13967
46,1023,1011,1996,2016,6,2,4,3,1007,2005,6,4,6,1991,9,8,8041
47,986,3910,1003,1967,0,4,1979,1,999,1,1980,5,1,1,1,2,11758
42,2002,11,2003,985,3,4,7,1,1997,5,2002,5,1,984,1,987,5005
45,9181,2029,3558,2017,4,3,1987,2,1983,3,4403,6065,4,2,5,2279,17830
47,987,1007,1995,1988,2,4,2,0,980,1998,2,1,4,1999,3,3,7956
37,1929,2877,3861,1916,2,2,967,1937,1922,967,1942,6,957,4,2,1,13457
48,1001,3925,1004,1964,5,7,1952,7,1001,0,1979,11,5,5,7,3,11806
43,1983,1,1994,1011,2,2,1,1,1991,1,1976,2,2,1017,0,993,4990
48,1014,1008,1991,1997,2,4,6,4,1003,1978,4,7,3,2007,4,4,7994
46,9063,2048,3428,2067,7,1,2052,3,2086,0,4413,5791,2,6,1,2232,17618
49,1015,3996,1029,2004,1,3,1982,3,1028,3,2022,3,5,0,1,2,12035
38,2063,3077,4133,2065,0,1,1028,2045,2026,1022,2077,0,1022,0,0,0,14455
44,2018,6,2023,1014,4,1,5,3,2010,2,2010,4,2,1002,1,1014,5064
49,996,1012,1980,1980,4,2,2,4,963,1988,0,2,3,2017,2,0,7949
47,8485,2006,3088,2038,2,3,2013,2,2044,2,4122,5351,4,4,3,2062,16622
45,2036,3,2026,1035,0,1,0,1,2027,3,2018,4,3,1029,2,1011,5101
39,1971,2920,3956,1912,3,0,981,1931,1952,985,1966,2,995,1,3,1,13698
46,1992,7,1970,986,2,1,5,4,1985,6,1980,2,1,984,1,982,4957
48,8196,2020,3016,2031,4,4,1976,3,2030,4,4116,5089,5,5,3,2004,16283
40,1998,3001,3999,1949,5,6,1026,1929,1939,1020,2010,6,993,3,4,3,13950
47,2029,3,2009,1022,1,1,0,2,2028,4,2010,4,2,1022,0,987,5065
49,7785,1984,2914,1950,2,3,1937,5,1913,1,4134,4697,2,3,5,1922,15642
41,1944,2925,3903,1959,2,2,989,1967,1932,993,1973,2,954,1,3,4,13640
48,2025,1,1994,1024,1,2,2,1,2021,2,1997,3,6,1019,1,987,5046
49,2013,8,1997,1011,2,2,4,4,2014,6,1973,4,2,1011,2,1002,5032
42,1985,2953,3959,1997,5,4,973,1997,1997,986,1978,2,993,4,1,2,13846
43,2019,3006,4058,1985,6,4,996,1985,1987,1001,2037,3,1022,3,4,2,14086
44,1968,2959,3936,1972,3,4,971,1974,1962,978,1980,3,978,2,2,3,13810
45,2040,3051,4074,2054,1,1,1000,2038,2053,1005,2036,2,1040,3,4,2,14253
46,1949,2939,3912,1984,2,1,975,2000,1949,966,1986,2,961,3,3,4,13716
47,1980,2986,3993,1983,4,4,987,1983,1962,996,2007,3,978,2,1,2,13955
48,2000,3002,4000,2003,6,3,1001,1986,2010,1004,1987,3,1020,1,1,5,13983
49,1967,2941,3930,1945,2,1,981,1948,1930,989,1989,2,971,5,6,1,13741
