generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
41,6352,4952,5910,6723,33,7,7738,2,3849,2,8176,2082,33,2,6,3,26941
42,1985,2953,3959,1997,5,5,974,1995,1997,986,1978,2,993,3,2,2,13846
48,2114,1081,1103,3054,87,4,3,3,2956,3,1010,1159,72,89,3,1955,8360
43,2019,3003,4053,1987,6,9,995,1982,1986,999,2035,5,1018,5,4,2,14078
49,2837,1453,1699,3524,502,2,6,4,3016,2,1174,1960,252,499,6,1884,10719
42,6568,5037,6016,7114,59,6,8167,5,3816,6,8341,2270,59,5,4,4,27728
44,1967,2957,3931,1972,3,5,969,1974,1960,977,1978,2,978,3,2,3,13800
45,2041,3050,4074,2054,1,1,1000,2038,2052,1005,2035,3,1041,3,4,2,14253
43,6571,4769,5872,6850,54,3,7842,0,3785,4,8170,2336,55,5,1,6,26863
46,1949,2939,3911,1985,2,1,975,2000,1948,966,1986,2,960,5,4,3,13716
44,7082,4966,6093,7115,80,0,8139,1,3893,4,8682,2467,83,2,2,0,28159
47,1980,2986,3993,1983,4,5,986,1984,1961,996,2007,3,978,2,0,3,13955
48,2000,3002,3999,2004,6,3,1002,1985,2010,1004,1987,2,1021,0,2,5,13983
45,7050,4967,5862,7155,160,3,8172,0,3643,3,8482,2448,157,3,1,0,27996
49,1968,2942,3931,1946,3,1,980,1948,1930,989,1990,2,973,5,6,1,13746
46,6802,4877,5698,7239,288,5,8205,4,3435,2,7975,2459,284,3,6,7,27559
47,6946,4927,6302,7666,631,5,8594,1,3688,4,7833,2451,654,1,3,31,28786
48,6902,4966,6667,7778,858,8,8551,8,3813,0,7526,2475,961,6,7,108,29305
49,7109,5062,6807,7859,908,4,8568,8,3870,9,7574,2655,1071,1,4,156,29846
